width	length	x	Vmax 
5.480000 5.010000 0.871500 10.639951
5.110000 5.340000 0.870200 10.554840
4.030000 3.400000 0.612500 3.736786
9.260000 7.190000 1.338700 39.765603
0.100000 2.710000 0.024800 0.003325
1.470000 0.070000 0.017300 0.000879
5.300000 0.870000 0.207800 0.461206
4.700000 8.150000 0.960700 16.626631
1.170000 8.890000 0.282200 1.422848
3.900000 4.330000 0.683000 5.129860
2.680000 4.060000 0.527400 2.575849
1.010000 1.770000 0.207000 0.167292
8.860000 6.790000 1.270400 34.112202
1.050000 9.180000 0.254600 1.193862
2.240000 9.140000 0.521500 5.054435
1.410000 6.520000 0.331400 1.450372
5.940000 1.820000 0.414800 2.099444
9.830000 2.640000 0.609700 7.457984
4.360000 0.760000 0.181000 0.288008
3.730000 4.240000 0.660100 4.644552
2.040000 6.630000 0.464700 2.942056
3.620000 3.940000 0.628300 3.984646
7.100000 1.420000 0.335500 1.615540
8.380000 8.700000 1.422600 46.099562
5.590000 9.460000 1.135400 27.093361
6.760000 7.100000 1.154000 24.619418
2.310000 5.790000 0.508600 3.138202
1.750000 1.760000 0.292500 0.400396
4.200000 5.030000 0.759900 7.149168
8.500000 2.410000 0.553700 5.331910
5.490000 9.370000 1.117600 25.953295
9.780000 5.820000 1.179900 30.294376
1.130000 2.370000 0.241100 0.294845
2.800000 1.980000 0.381100 0.945750
4.150000 5.370000 0.774000 7.697309
6.790000 5.210000 0.974300 15.383946
3.890000 9.280000 0.849700 14.110171
4.970000 1.160000 0.271100 0.741593
3.920000 0.580000 0.139200 0.152884
4.100000 3.890000 0.665100 4.715648
2.620000 1.060000 0.232900 0.298118
4.390000 1.470000 0.331600 0.997049
1.070000 2.620000 0.234700 0.303150
9.330000 9.190000 1.543200 58.808940
8.370000 6.940000 1.259200 32.579829
4.180000 0.530000 0.128000 0.137623
7.170000 8.650000 1.301100 35.943071
0.820000 9.410000 0.200300 0.756842
6.870000 7.140000 1.166800 25.440619
6.840000 9.140000 1.290900 36.049838
1.230000 6.890000 0.292500 1.189517
5.020000 0.920000 0.218500 0.483669
0.880000 3.010000 0.201600 0.250573
9.760000 2.950000 0.673300 9.082848
4.020000 0.820000 0.193500 0.304393
6.020000 8.880000 1.174800 28.158993
1.290000 5.060000 0.299300 0.923224
0.280000 6.280000 0.069200 0.060180
9.860000 5.960000 1.203200 31.869294
8.730000 4.610000 0.962600 17.586247
5.590000 5.290000 0.905600 11.904736
4.040000 4.110000 0.679100 5.011607
8.370000 7.250000 1.291700 34.880741
5.790000 5.840000 0.969100 14.564559
0.070000 6.810000 0.017500 0.004150
9.950000 8.870000 1.560600 61.265107
9.780000 0.770000 0.188600 0.696579
2.860000 1.500000 0.313700 0.611140
6.710000 4.550000 0.887900 12.153982
0.670000 5.060000 0.161600 0.265464
0.980000 3.530000 0.225600 0.367292
5.140000 5.850000 0.910100 12.175436
3.520000 2.120000 0.428400 1.441204
9.770000 9.180000 1.576900 62.871862
9.180000 8.070000 1.428600 47.085930
8.600000 5.410000 1.080000 22.604400
9.480000 2.730000 0.626300 7.612777
1.840000 6.070000 0.419900 2.196600
6.360000 5.400000 0.970300 14.834405
6.560000 6.960000 1.125200 22.837613
8.380000 0.610000 0.149600 0.375722
2.410000 3.160000 0.451700 1.535687
9.130000 6.420000 1.238100 32.489300
5.020000 6.720000 0.948000 14.286527
4.920000 0.060000 0.015000 0.002200
5.890000 1.110000 0.263200 0.823868
3.360000 7.720000 0.729300 8.682627
7.720000 3.500000 0.754100 9.330225
2.340000 9.660000 0.545200 5.838314
5.950000 5.320000 0.934800 13.161061
2.690000 1.490000 0.307600 0.558305
0.270000 6.760000 0.066800 0.060377
9.830000 0.380000 0.094100 0.174019
1.970000 0.080000 0.019800 0.001544
9.860000 7.830000 1.445300 49.753953
7.030000 6.720000 1.145000 24.042939
6.270000 0.070000 0.017500 0.003819
1.190000 9.300000 0.287400 1.542689
9.630000 0.730000 0.178900 0.617404
9.600000 3.680000 0.815200 13.315878
3.600000 4.830000 0.680400 5.285505
5.360000 1.080000 0.255000 0.704948
3.340000 0.110000 0.027300 0.004969
9.170000 4.730000 0.992900 19.574906
9.540000 1.750000 0.415600 3.325484
1.850000 9.750000 0.438500 3.785759
7.890000 7.840000 1.310800 36.037324
4.600000 6.290000 0.875300 11.321626
9.550000 5.740000 1.160600 28.682861
2.900000 9.630000 0.662200 8.665750
5.840000 2.040000 0.457700 2.534837
1.590000 8.670000 0.377600 2.494907
3.710000 6.810000 0.769100 8.805653
0.460000 0.690000 0.090200 0.012852
3.230000 4.390000 0.613300 3.886823
6.930000 2.690000 0.594800 5.122951
3.860000 0.180000 0.044500 0.015271
2.440000 6.100000 0.537000 3.686782
9.370000 7.610000 1.392400 44.243381
0.120000 1.260000 0.029300 0.002161
7.330000 1.680000 0.393200 2.299182
8.000000 9.280000 1.428200 47.188341
4.770000 3.400000 0.652700 4.736612
0.500000 7.450000 0.122800 0.225068
9.160000 7.650000 1.384000 43.188750
5.900000 0.800000 0.192800 0.440580
5.770000 2.380000 0.521300 3.295880
0.830000 5.040000 0.198200 0.399069
6.380000 0.680000 0.165200 0.349388
2.100000 1.740000 0.315800 0.513988
8.460000 7.300000 1.302700 35.804716
4.520000 4.630000 0.762300 7.090850
1.690000 1.010000 0.204500 0.157441
9.300000 5.420000 1.104900 25.148585
1.790000 5.440000 0.404700 1.837648
7.170000 5.940000 1.078200 20.452868
7.290000 7.570000 1.237700 30.358876
7.690000 1.320000 0.314600 1.534493
7.210000 9.030000 1.328100 38.548116
8.280000 9.420000 1.465900 50.867010
0.420000 9.350000 0.103800 0.201564
9.540000 1.470000 0.352200 2.382469
4.010000 3.860000 0.655500 4.509677
4.770000 7.980000 0.965900 16.580641
9.420000 5.650000 1.143000 27.430601
6.380000 6.340000 1.060000 19.055832
2.600000 9.540000 0.599600 7.005602
5.130000 9.470000 1.064900 23.451300
4.870000 5.030000 0.824700 8.978971
8.950000 0.610000 0.149800 0.402226
3.480000 0.360000 0.087600 0.053500
1.340000 5.110000 0.310100 1.002168
3.870000 8.370000 0.830800 12.308161
1.930000 5.280000 0.430400 2.033644
8.150000 1.830000 0.428900 3.040677
3.920000 6.580000 0.794500 9.243230
3.730000 8.380000 0.806400 11.553709
5.560000 5.590000 0.929200 12.834938
3.760000 4.400000 0.673800 4.961600
7.150000 4.640000 0.917800 13.678619
7.930000 9.050000 1.405800 44.888075
7.450000 7.120000 1.213200 28.605763
2.530000 8.510000 0.578500 5.840345
2.460000 2.140000 0.380600 0.891481
5.080000 0.960000 0.227600 0.531355
0.380000 3.800000 0.092500 0.065206
8.790000 4.170000 0.890700 14.910979
3.860000 7.800000 0.817500 11.213750
7.710000 7.350000 1.253900 31.585857
3.920000 5.500000 0.752500 7.260064
6.470000 6.890000 1.111700 22.030763
3.280000 0.410000 0.099100 0.064685
1.870000 0.240000 0.058000 0.012615
9.260000 9.270000 1.544200 58.911790
0.390000 7.780000 0.096200 0.144234
0.820000 4.770000 0.195400 0.367265
7.520000 7.260000 1.231100 29.874258
1.500000 3.190000 0.321000 0.701765
1.320000 4.840000 0.304400 0.916009
2.070000 1.030000 0.217900 0.211590
7.960000 4.850000 0.977000 16.993328
4.140000 8.540000 0.880500 14.200036
0.440000 4.550000 0.107200 0.104854
9.990000 1.540000 0.369000 2.738018
6.320000 8.720000 1.206300 29.729909
5.900000 3.860000 0.761700 7.789421
0.900000 0.150000 0.035800 0.002325
5.690000 0.360000 0.088500 0.089286
7.770000 9.100000 1.392800 43.836284
6.120000 0.980000 0.234400 0.677157
7.230000 1.350000 0.320300 1.497249
2.860000 9.030000 0.649400 7.838225
3.000000 3.650000 0.546300 2.664843
5.970000 8.110000 1.133400 24.525119
7.750000 7.750000 1.291700 34.480324
2.090000 6.710000 0.475500 3.119043
0.490000 7.620000 0.120500 0.221403
9.970000 5.890000 1.196400 31.703384
7.990000 6.580000 1.197200 28.039553
4.840000 8.500000 0.992500 18.460823
2.050000 6.800000 0.468000 3.057208
5.070000 3.310000 0.653600 4.925618
8.080000 6.860000 1.232600 30.415543
4.380000 9.000000 0.930800 16.733314
5.550000 7.450000 1.049200 19.380384
8.860000 9.970000 1.561000 61.337659
9.650000 1.810000 0.429300 3.590724
6.170000 5.320000 0.949700 13.873231
6.180000 2.790000 0.601600 4.750947
0.650000 2.430000 0.150200 0.111825
2.020000 5.560000 0.450900 2.348648
6.700000 2.990000 0.646100 5.932079
1.190000 3.880000 0.271200 0.586180
8.870000 8.150000 1.414500 45.467916
3.920000 7.300000 0.815400 10.582206
3.750000 6.500000 0.766400 8.440575
2.040000 5.430000 0.453200 2.323988
6.500000 6.840000 1.110600 21.948701
1.910000 2.040000 0.328600 0.569257
8.120000 4.040000 0.854600 12.769683
5.320000 2.410000 0.519300 3.049076
0.350000 2.410000 0.084100 0.034276
0.990000 1.380000 0.189600 0.115900
9.930000 8.340000 1.505300 55.509820
5.910000 2.520000 0.548900 3.756623
7.030000 9.170000 1.315100 37.840440
7.990000 5.820000 1.109000 23.056935
1.980000 4.030000 0.420000 1.527372
2.210000 3.090000 0.423800 1.294728
0.040000 0.200000 0.009400 0.000036
3.870000 5.180000 0.730800 6.544602
6.460000 5.020000 0.934300 13.518702
4.730000 5.570000 0.849800 9.967185
8.290000 7.190000 1.280300 33.958273
8.570000 7.870000 1.366300 40.974051
0.480000 0.590000 0.087800 0.011075
6.800000 6.280000 1.087400 20.646867
1.860000 2.250000 0.337900 0.629902
9.050000 8.560000 1.465800 50.477465
7.670000 4.640000 0.936500 15.021740
9.810000 3.110000 0.706100 10.067422
2.820000 6.840000 0.617700 5.485824
1.110000 2.910000 0.246100 0.367604
9.300000 2.390000 0.554100 5.818188
1.840000 0.650000 0.145600 0.080911
0.120000 8.520000 0.029900 0.015228
5.520000 1.840000 0.415300 1.965814
5.940000 0.510000 0.124600 0.184926
5.400000 5.050000 0.869400 10.539706
9.580000 9.340000 1.576300 62.687709
0.450000 7.450000 0.110700 0.182927
9.690000 0.460000 0.113600 0.250254
9.070000 4.350000 0.927200 16.696323
1.760000 6.470000 0.406000 2.177696
3.260000 7.830000 0.712900 8.374139
4.250000 0.490000 0.118800 0.120312
4.300000 4.930000 0.763800 7.204783
2.030000 8.740000 0.474600 3.996273
1.580000 8.740000 0.375500 2.486892
4.570000 0.420000 0.102500 0.096194
3.980000 7.920000 0.840200 12.055680
2.180000 4.310000 0.459600 1.964845
5.090000 8.920000 1.043200 21.412098
9.430000 4.800000 1.010500 20.805802
8.320000 5.220000 1.042900 20.377463
8.710000 6.870000 1.271400 33.929480
7.320000 2.940000 0.646700 6.417462
7.920000 3.880000 0.823400 11.535266
8.470000 7.810000 1.353300 39.804526
3.070000 0.250000 0.061200 0.023018
9.150000 8.190000 1.438400 47.942974
6.550000 7.240000 1.144900 24.144615
6.770000 9.470000 1.298300 37.242317
1.190000 5.150000 0.278300 0.809703
8.650000 8.230000 1.405400 44.472186
0.970000 0.940000 0.159100 0.064482
1.660000 9.470000 0.395200 2.982883
6.730000 8.140000 1.222600 29.832759
3.480000 7.170000 0.740000 8.421200
7.760000 3.420000 0.740700 9.015574
5.420000 0.310000 0.076400 0.063259
8.720000 4.850000 1.000400 19.152002
1.880000 1.820000 0.308200 0.468732
9.720000 7.940000 1.449400 49.840566
7.600000 8.710000 1.349800 39.756151
3.050000 4.930000 0.611800 4.141500
3.680000 1.540000 0.336500 0.877279
4.620000 1.710000 0.380700 1.393464
3.100000 9.490000 0.701400 9.627133
2.150000 3.940000 0.445500 1.710137
8.320000 8.530000 1.403800 44.281689
7.090000 5.560000 1.031300 18.133171
7.880000 8.650000 1.373000 41.617190
9.960000 0.100000 0.024900 0.012388
3.340000 9.210000 0.745700 10.640098
8.150000 5.970000 1.135300 24.693062
4.380000 5.410000 0.802400 8.473497
0.640000 8.300000 0.156800 0.408740
9.870000 0.970000 0.236200 1.104529
7.280000 7.460000 1.228100 29.643056
9.270000 5.830000 1.163900 28.297869
6.290000 4.780000 0.897100 12.042275
2.420000 7.500000 0.548300 4.646437
2.380000 9.530000 0.553200 5.934894
0.850000 5.900000 0.204300 0.495204
2.700000 5.710000 0.577100 4.064143
5.770000 8.620000 1.130600 25.225673
0.140000 3.100000 0.034600 0.007424
1.650000 2.250000 0.313700 0.520513
3.270000 9.280000 0.732900 10.332702
9.140000 8.980000 1.509800 55.077553
9.710000 0.900000 0.219500 0.938128
2.100000 0.170000 0.041600 0.007282
9.620000 5.630000 1.146400 28.032153
